,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
322,Stykkisholmur,83,IS,09/04/19,84,65.08,-22.73,48.110000000000085,3.72
323,Cidreira,4,BR,09/04/19,43,-30.17,-50.22,55.85,6.01
324,Haicheng,60,CN,09/04/19,94,40.85,122.74,65.57000000000006,4.49
325,Abaza,0,RU,09/04/19,88,52.65,90.1,40.55,1.19
326,Mezen,100,RU,09/04/19,93,65.85,44.24,52.97000000000006,2.42
327,Vaini,100,IN,09/04/19,94,15.34,74.49,75.29000000000002,1.98
328,Vaini,100,IN,09/04/19,94,15.34,74.49,75.29000000000002,1.98
329,Blagodatnoye,75,RU,09/04/19,88,51.57,35.54,64.99400000000009,3.0
330,Husavik,100,CA,09/04/19,57,50.56,-96.99,69.99800000000002,2.24
331,Garowe,2,SO,09/04/19,36,8.41,48.48,86.09000000000003,6.32
332,Butaritari,95,KI,09/04/19,74,3.07,172.79,83.2100000000001,2.43
333,Isla Mujeres,40,MX,09/04/19,66,21.23,-86.73,87.80000000000001,6.2
334,Touros,75,BR,09/04/19,69,-5.2,-35.46,82.4,5.7
335,Sola,52,TZ,09/04/19,28,-3.17,33.8,77.63000000000005,1.16
336,Pisco,90,PE,09/04/19,30,-13.71,-76.2,71.6,4.1
337,Castro,0,CL,09/04/19,46,-42.48,-73.76,47.030000000000044,2.22
338,Buenos Aires,0,AR,09/04/19,32,-34.61,-58.44,55.004000000000055,3.6
