,base,clouds,cod,coord,dt,id,main,name,rain,sys,timezone,visibility,weather,wind
1175,stations,{'all': 23},200,"{'lon': 19.24, 'lat': -34.42}",1567619946,3366880,"{'temp': 287.35, 'pressure': 1022, 'humidity': 82, 'temp_min': 287.04, 'temp_max': 287.59}",Hermanus,,"{'type': 3, 'id': 2006131, 'message': 0.0075, 'country': 'ZA', 'sunrise': 1567573112, 'sunset': 1567614381}",7200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 0.89, 'deg': 73, 'gust': 1.79}"
1176,stations,{'all': 5},200,"{'lon': -109.91, 'lat': 22.89}",1567619844,3985710,"{'temp': 304.65, 'pressure': 1013, 'humidity': 58, 'temp_min': 300.93, 'temp_max': 307.04}",Cabo San Lucas,,"{'type': 1, 'id': 7151, 'message': 0.0091, 'country': 'MX', 'sunrise': 1567602186, 'sunset': 1567647285}",-21600,14484.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.1, 'deg': 200}"
1177,stations,{'all': 45},200,"{'lon': 1.41, 'lat': 18.44}",1567620169,2455290,"{'temp': 311.6, 'pressure': 1007.41, 'humidity': 18, 'temp_min': 311.6, 'temp_max': 311.6, 'sea_level': 1007.41, 'grnd_level': 962.09}",Kidal,,"{'message': 0.0055, 'country': 'ML', 'sunrise': 1567575626, 'sunset': 1567620423}",0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.25, 'deg': 346.398}"
1178,stations,{'all': 75},200,"{'lon': 10.98, 'lat': 31.86}",1567619948,2214433,"{'temp': 300.3, 'pressure': 1012.67, 'humidity': 49, 'temp_min': 300.3, 'temp_max': 300.3, 'sea_level': 1012.67, 'grnd_level': 961.39}",Nalut,,"{'message': 0.0072, 'country': 'LY', 'sunrise': 1567572795, 'sunset': 1567618662}",7200,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 9.15, 'deg': 41.526}"
1179,stations,{'all': 75},200,"{'lon': -114.38, 'lat': 62.45}",1567619981,6185377,"{'temp': 283.93, 'pressure': 1013, 'humidity': 66, 'temp_min': 283.71, 'temp_max': 284.15}",Yellowknife,,"{'type': 1, 'id': 1007, 'message': 0.0066, 'country': 'CA', 'sunrise': 1567600409, 'sunset': 1567651207}",-21600,24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 5.1, 'deg': 120}"
1180,stations,{'all': 90},200,"{'lon': 11.94, 'lat': 58.35}",1567620169,2666670,"{'temp': 288.15, 'pressure': 1005, 'humidity': 93, 'temp_min': 287.04, 'temp_max': 289.26}",Uddevalla,,"{'type': 1, 'id': 1752, 'message': 0.0063, 'country': 'SE', 'sunrise': 1567570627, 'sunset': 1567620370}",7200,10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09d'}]","{'speed': 5.7, 'deg': 170}"
1181,stations,{'all': 75},200,"{'lon': 166.46, 'lat': -22.28}",1567620169,2139521,"{'temp': 292.74, 'pressure': 1012, 'humidity': 82, 'temp_min': 290.15, 'temp_max': 295.37}",Noumea,,"{'type': 1, 'id': 7344, 'message': 0.01, 'country': 'NC', 'sunrise': 1567623686, 'sunset': 1567665918}",39600,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'speed': 1}
1182,stations,{'all': 0},200,"{'lon': 128.74, 'lat': -15.77}",1567620170,2068110,"{'temp': 292.15, 'pressure': 1012, 'humidity': 82, 'temp_min': 292.15, 'temp_max': 292.15}",Kununurra,,"{'type': 1, 'id': 9587, 'message': 0.0145, 'country': 'AU', 'sunrise': 1567632524, 'sunset': 1567675181}",28800,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.87, 'deg': 224.774}"
1183,stations,{'all': 75},200,"{'lon': -91.92, 'lat': 50.1}",1567620170,6148373,"{'temp': 288.55, 'pressure': 1018, 'humidity': 59, 'temp_min': 288.15, 'temp_max': 289.15}",Sioux Lookout,,"{'type': 1, 'id': 979, 'message': 0.0071, 'country': 'CA', 'sunrise': 1567596418, 'sunset': 1567644420}",-18000,24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 5.1, 'deg': 220, 'gust': 7.7}"
1184,stations,{'all': 90},200,"{'lon': -100.35, 'lat': 18.62}",1567620170,3981460,"{'temp': 300.6, 'pressure': 1013.62, 'humidity': 76, 'temp_min': 300.6, 'temp_max': 300.6, 'sea_level': 1013.62, 'grnd_level': 949.34}",Coahuayana,{'3h': 1.563},"{'message': 0.0073, 'country': 'MX', 'sunrise': 1567600045, 'sunset': 1567644838}",-18000,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 1.55, 'deg': 258.428}"
